source,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_12,cluster_10,8,14,0.86775956284153,0.9148022559114574,0.9365736704446381,0.9384260960741659,0.5171768707482993,0.3963675213675214,0.44285643582264794,0.9128983799502477,0.5609719737626714
cluster_12,all_valid,139,14,0.9318181818181818,0.93433315841557,0.9545454545454546,0.944035540422274,0.3409090909090909,0.5777777777777777,0.6081982244752465,0.9802891780350796,0.8177187153931338
cluster_8,cluster_0,57,12,0.9047619047619048,0.9063013560199118,0.9591836734693877,0.9871454984967841,0.3333333333333333,0.5714285714285714,0.6122208075604706,0.9404761904761905,1.0089285714285714
cluster_8,cluster_6,15,12,0.9375,0.9875841368752776,0.9,0.8859775749472539,0.2903225806451613,0.7419354838709676,0.6940266334100733,0.9745065789473684,1.3099798387096773
cluster_8,cluster_12,12,12,0.938472942920682,0.9534944756148303,0.921994884910486,0.93773038149425,0.5776092774308653,0.3865914786967418,0.48954090477031337,0.9755179275096563,0.6825755795739348
cluster_8,cluster_8,11,12,0.9620253164556962,0.9669149891929774,0.8860759493670886,0.9310323978505497,0.48717948717948717,0.5663716814159292,0.5017478705444272,1.0,1.0
cluster_8,cluster_2,9,12,0.8484848484848485,0.861276577074813,1.0,0.9758012715282415,0.4339622641509434,0.380952380952381,0.469974134317846,0.8819776714513556,0.6726190476190477
cluster_8,cluster_1,8,12,0.971830985915493,0.9586927862438819,0.943363539445629,0.9461396024832658,0.26865671641791045,0.6716417910447761,0.6772445747073295,1.0101927353595257,1.1858675373134326
cluster_8,cluster_10,8,12,0.8673423423423423,0.8878077576130382,0.8894943330427201,0.9158565607307769,0.36507444168734493,0.42582417582417575,0.593617789000523,0.9015795400663821,0.7518458104395603
cluster_8,all_valid,139,12,0.9102564102564102,0.93475748932982,0.9444444444444444,0.95083014929541,0.3409090909090909,0.5769230769230769,0.604268927416259,0.946187584345479,1.0186298076923077
cluster_2,cluster_0,57,12,1.0,0.9895699450089444,1.0869565217391304,1.1044069581005176,0.19696969696969696,0.7384615384615385,0.7662379213105499,1.0769230769230769,1.0830769230769233
cluster_2,cluster_6,15,12,1.0126582278481013,1.0573984009990014,1.0,0.9927420053889531,0.2542372881355932,0.728813559322034,0.7481763156328218,1.0905550146056475,1.0689265536723165
cluster_2,cluster_12,12,12,1.0,1.0272119529385488,1.060235507246377,1.0206724142082597,0.3986047796656997,0.6056445461479787,0.6497474926972829,1.0769230769230769,0.8882786676837021
