source,source_build_mode,source_cluster_id,source_cluster_size,target,n_samples,source_nodes,suff_median,suff_mean,nec_median,nec_mean,random_suff_median,delta_vs_random_median,delta_vs_random_mean,suff_vs_within_ratio,delta_vs_within_ratio
cluster_8,compact_support,8,11,cluster_1,8,4,0.976483903420523,0.9924462448212252,1.0114275668073136,1.1181178408573658,0.053793532338308456,0.9388326226012793,0.8711275583622811,1.0069990254024144,1.117657884049142
cluster_8,compact_support,8,11,all_valid,139,4,0.9259259259259259,0.9684345418811926,1.0172413793103448,1.0638224361783233,0.09433962264150944,0.8400000000000001,0.8484831747070863,0.954861111111111,1.0
cluster_2,compact_support,2,9,cluster_0,57,4,0.9206349206349206,0.9279052498514122,1.0810810810810811,1.0983004755208967,0.022727272727272728,0.8636363636363636,0.8827507939894372,1.1617535903250187,1.2006651884700665
cluster_2,compact_support,2,9,cluster_6,15,4,0.9375,1.0443226329393387,0.9791666666666666,1.0864872973364519,0.16216216216216217,0.7971014492753623,0.8291212797199461,1.1830357142857142,1.1081654294803818
cluster_2,compact_support,2,9,cluster_12,12,4,1.0,0.9863937798130861,1.0215471936094178,1.0291506985921688,0.1061062220163656,0.8677177177177178,0.8275902609833131,1.2619047619047619,1.2063392660953638
cluster_2,compact_support,2,9,cluster_8,11,4,0.9696969696969697,0.9746545724781582,1.0104166666666667,0.9936808734147895,0.16,0.8407079646017699,0.7917382077180078,1.2236652236652237,1.1687891215195336
cluster_2,compact_support,2,9,cluster_2,9,4,0.7924528301886793,0.8091419593726972,0.9056603773584906,0.9371246196411218,0.05263157894736842,0.7192982456140351,0.7153942245550985,1.0,1.0
cluster_2,compact_support,2,9,cluster_10,8,4,0.7851092896174863,0.8616500890156175,0.8768817204301076,0.8902775767940647,0.1525096525096525,0.7799145299145298,0.7308353550808412,0.9907331511839708,1.0842714196372731
cluster_2,compact_support,2,9,cluster_1,8,4,0.976483903420523,0.9924462448212252,1.0114275668073136,1.1181178408573658,0.07462686567164178,0.9082853855005754,0.8601996943487504,1.2322296876497076,1.2627382188666536
cluster_2,compact_support,2,9,all_valid,139,4,0.9259259259259259,0.9684345418811926,1.0172413793103448,1.0638224361783233,0.09574468085106383,0.819672131147541,0.8568105088187237,1.1684303350970018,1.139544182327069
cluster_10,compact_support,10,8,cluster_0,57,4,0.9206349206349206,0.9279052498514122,1.0810810810810811,1.0983004755208967,0.09433962264150944,0.8333333333333334,0.8497850401137129,1.1726200833561196,1.123569259518804
cluster_10,compact_support,10,8,cluster_6,15,4,0.9375,1.0443226329393387,0.9791666666666666,1.0864872973364519,0.22916666666666666,0.8529411764705881,0.8602436044226381,1.1941012702279452,1.1500061832721875
