q_index,node,node_role,gap,full_suff_ratio,full_nec_ratio,node_suff_ratio,node_nec_ratio,minus_node_suff_ratio,minus_node_nec_ratio,drop_full_suff,drop_full_nec
39,MLP22,Support Suppressor MLP,7.625,0.8524590163934426,0.8852459016393442,0.18032786885245902,0.06557377049180328,0.8688524590163934,0.9016393442622951,-0.016393442622950838,-0.016393442622950838
39,L23H6,Format Router / Distractor Suppressor,7.625,0.8524590163934426,0.8852459016393442,0.26229508196721313,0.13114754098360656,0.8524590163934426,0.8524590163934426,0.0,0.032786885245901676
39,L24H6,Tool-Tag Reader / Distractor Suppressor,7.625,0.8524590163934426,0.8852459016393442,0.21311475409836064,0.11475409836065574,0.8688524590163934,0.8688524590163934,-0.016393442622950838,0.016393442622950838
39,MLP27,Primary Writer MLP,7.625,0.8524590163934426,0.8852459016393442,0.3114754098360656,0.22950819672131148,0.819672131147541,0.8524590163934426,0.032786885245901565,0.032786885245901676
41,MLP11,Aux MLP,10.125,1.0123456790123457,1.0,0.2345679012345679,0.12345679012345678,0.9506172839506173,0.9506172839506173,0.06172839506172845,0.04938271604938271
41,L17H8,Format Router / Target+Suppressor,10.125,1.0123456790123457,1.0,0.38271604938271603,0.24691358024691357,0.9753086419753086,0.9629629629629629,0.03703703703703709,0.03703703703703709
41,MLP20,Aux MLP,10.125,1.0123456790123457,1.0,0.16049382716049382,0.1111111111111111,0.9876543209876543,0.9753086419753086,0.024691358024691468,0.024691358024691357
41,L20H5,Query Reader / Distractor Suppressor,10.125,1.0123456790123457,1.0,0.2345679012345679,0.12345679012345678,0.9753086419753086,0.9876543209876543,0.03703703703703709,0.012345679012345734
41,L21H1,Format Router / Target+Suppressor,10.125,1.0123456790123457,1.0,0.43209876543209874,0.1728395061728395,0.9753086419753086,0.9629629629629629,0.03703703703703709,0.03703703703703709
41,L21H12,Format Router / Target+Suppressor,10.125,1.0123456790123457,1.0,0.4567901234567901,0.18518518518518517,0.9629629629629629,0.9135802469135802,0.049382716049382824,0.0864197530864198
41,MLP22,Support Suppressor MLP,10.125,1.0123456790123457,1.0,0.2345679012345679,0.08641975308641975,0.9629629629629629,0.9876543209876543,0.049382716049382824,0.012345679012345734
41,L23H6,Format Router / Distractor Suppressor,10.125,1.0123456790123457,1.0,0.2962962962962963,0.09876543209876543,0.9876543209876543,0.9876543209876543,0.024691358024691468,0.012345679012345734
41,L24H6,Tool-Tag Reader / Distractor Suppressor,10.125,1.0123456790123457,1.0,0.41975308641975306,0.2345679012345679,0.9876543209876543,0.9876543209876543,0.024691358024691468,0.012345679012345734
41,MLP27,Primary Writer MLP,10.125,1.0123456790123457,1.0,0.49382716049382713,0.3950617283950617,1.0246913580246915,1.0123456790123457,-0.012345679012345734,-0.012345679012345734
42,MLP11,Aux MLP,6.1875,0.9595959595959596,0.9292929292929293,0.13131313131313133,0.06060606060606061,0.8585858585858586,0.8686868686868687,0.101010101010101,0.06060606060606055
42,L17H8,Format Router / Target+Suppressor,6.1875,0.9595959595959596,0.9292929292929293,0.43434343434343436,0.3434343434343434,0.9393939393939394,0.9191919191919192,0.02020202020202011,0.010101010101010055
42,MLP20,Aux MLP,6.1875,0.9595959595959596,0.9292929292929293,0.010101010101010102,0.06060606060606061,0.9797979797979798,0.9494949494949495,-0.02020202020202022,-0.02020202020202022
42,L20H5,Query Reader / Distractor Suppressor,6.1875,0.9595959595959596,0.9292929292929293,0.47474747474747475,0.46464646464646464,0.9191919191919192,0.9191919191919192,0.04040404040404033,0.010101010101010055
42,L21H1,Format Router / Target+Suppressor,6.1875,0.9595959595959596,0.9292929292929293,0.3939393939393939,0.2828282828282828,0.9595959595959596,0.9292929292929293,0.0,0.0
42,L21H12,Format Router / Target+Suppressor,6.1875,0.9595959595959596,0.9292929292929293,0.5353535353535354,0.3838383838383838,0.898989898989899,0.8787878787878788,0.06060606060606055,0.0505050505050505
42,MLP22,Support Suppressor MLP,6.1875,0.9595959595959596,0.9292929292929293,0.15151515151515152,0.10101010101010101,0.9393939393939394,0.9191919191919192,0.02020202020202011,0.010101010101010055
42,L23H6,Format Router / Distractor Suppressor,6.1875,0.9595959595959596,0.9292929292929293,0.3333333333333333,0.32323232323232326,0.9595959595959596,0.9090909090909091,0.0,0.02020202020202022
42,L24H6,Tool-Tag Reader / Distractor Suppressor,6.1875,0.9595959595959596,0.9292929292929293,0.494949494949495,0.40404040404040403,0.9797979797979798,0.9393939393939394,-0.02020202020202022,-0.010101010101010166
42,MLP27,Primary Writer MLP,6.1875,0.9595959595959596,0.9292929292929293,0.3939393939393939,0.3434343434343434,1.0,0.9595959595959596,-0.04040404040404044,-0.030303030303030276
43,MLP11,Aux MLP,10.125,0.8518518518518519,0.8765432098765432,0.1728395061728395,0.18518518518518517,0.8271604938271605,0.8395061728395061,0.024691358024691357,0.03703703703703709
43,L17H8,Format Router / Target+Suppressor,10.125,0.8518518518518519,0.8765432098765432,0.345679012345679,0.20987654320987653,0.8395061728395061,0.8271604938271605,0.012345679012345734,0.04938271604938271
43,MLP20,Aux MLP,10.125,0.8518518518518519,0.8765432098765432,0.14814814814814814,0.07407407407407407,0.8765432098765432,0.9135802469135802,-0.024691358024691357,-0.03703703703703698
43,L20H5,Query Reader / Distractor Suppressor,10.125,0.8518518518518519,0.8765432098765432,0.2839506172839506,0.18518518518518517,0.8395061728395061,0.8641975308641975,0.012345679012345734,0.012345679012345734
43,L21H1,Format Router / Target+Suppressor,10.125,0.8518518518518519,0.8765432098765432,0.345679012345679,0.16049382716049382,0.8395061728395061,0.8395061728395061,0.012345679012345734,0.03703703703703709
43,L21H12,Format Router / Target+Suppressor,10.125,0.8518518518518519,0.8765432098765432,0.38271604938271603,0.14814814814814814,0.8148148148148148,0.8024691358024691,0.03703703703703709,0.07407407407407407
43,MLP22,Support Suppressor MLP,10.125,0.8518518518518519,0.8765432098765432,0.12345679012345678,0.012345679012345678,0.8641975308641975,0.9135802469135802,-0.012345679012345623,-0.03703703703703698
43,L23H6,Format Router / Distractor Suppressor,10.125,0.8518518518518519,0.8765432098765432,0.25925925925925924,0.12345679012345678,0.8271604938271605,0.8518518518518519,0.024691358024691357,0.024691358024691357
43,L24H6,Tool-Tag Reader / Distractor Suppressor,10.125,0.8518518518518519,0.8765432098765432,0.25925925925925924,0.14814814814814814,0.8395061728395061,0.8518518518518519,0.012345679012345734,0.024691358024691357
43,MLP27,Primary Writer MLP,10.125,0.8518518518518519,0.8765432098765432,0.3950617283950617,0.2839506172839506,0.7901234567901234,0.8271604938271605,0.06172839506172845,0.04938271604938271
