mode,q_index,group,n_nodes,gap_aug,full_suff_ratio,full_nec_ratio,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,drop_full_suff,drop_full_nec
user_json_pad,28,stable_but_weak_or_redundant,6,6.625,1.0188679245283019,1.0377358490566038,0.7358490566037735,0.6792452830188679,0.9245283018867925,0.9245283018867925,0.09433962264150941,0.1132075471698113
user_json_pad,28,all_heads,6,6.625,1.0188679245283019,1.0377358490566038,0.7735849056603774,0.7169811320754716,0.8867924528301887,0.8490566037735849,0.13207547169811318,0.18867924528301883
user_json_pad,28,all_mlps,4,6.625,1.0188679245283019,1.0377358490566038,0.8867924528301887,0.8490566037735849,0.7735849056603774,0.7169811320754716,0.24528301886792447,0.3207547169811321
user_json_pad,30,full_core,10,10.25,1.0365853658536586,0.9878048780487805,1.0365853658536586,0.9878048780487805,nan,nan,nan,nan
user_json_pad,30,stable_necessary_backbone,2,10.25,1.0365853658536586,0.9878048780487805,0.6585365853658537,0.5121951219512195,0.8292682926829268,0.7439024390243902,0.20731707317073178,0.24390243902439024
user_json_pad,30,stable_but_weak_or_redundant,6,10.25,1.0365853658536586,0.9878048780487805,0.7926829268292683,0.7439024390243902,0.9024390243902439,0.8536585365853658,0.13414634146341464,0.13414634146341464
user_json_pad,30,all_heads,6,10.25,1.0365853658536586,0.9878048780487805,0.8536585365853658,0.8048780487804879,0.8414634146341463,0.7682926829268293,0.19512195121951226,0.2195121951219512
user_json_pad,30,all_mlps,4,10.25,1.0365853658536586,0.9878048780487805,0.8414634146341463,0.7682926829268293,0.8536585365853658,0.8048780487804879,0.18292682926829273,0.18292682926829262
user_json_pad,31,full_core,10,12.125,1.0309278350515463,1.0206185567010309,1.0309278350515463,1.0206185567010309,nan,nan,nan,nan
user_json_pad,31,stable_necessary_backbone,2,12.125,1.0309278350515463,1.0206185567010309,0.711340206185567,0.5360824742268041,0.8556701030927835,0.7731958762886598,0.17525773195876282,0.24742268041237103
user_json_pad,31,stable_but_weak_or_redundant,6,12.125,1.0309278350515463,1.0206185567010309,0.8041237113402062,0.7628865979381443,0.9072164948453608,0.8144329896907216,0.12371134020618546,0.2061855670103092
user_json_pad,31,all_heads,6,12.125,1.0309278350515463,1.0206185567010309,0.845360824742268,0.8247422680412371,0.8556701030927835,0.7216494845360825,0.17525773195876282,0.2989690721649484
user_json_pad,31,all_mlps,4,12.125,1.0309278350515463,1.0206185567010309,0.8556701030927835,0.7216494845360825,0.845360824742268,0.8247422680412371,0.18556701030927825,0.19587628865979378
user_json_pad,32,full_core,10,13.125,0.9238095238095239,0.8952380952380953,0.9238095238095239,0.8952380952380953,nan,nan,nan,nan
user_json_pad,32,stable_necessary_backbone,2,13.125,0.9238095238095239,0.8952380952380953,0.6095238095238096,0.45714285714285713,0.7904761904761904,0.7142857142857143,0.13333333333333341,0.18095238095238098
user_json_pad,32,stable_but_weak_or_redundant,6,13.125,0.9238095238095239,0.8952380952380953,0.7523809523809524,0.7142857142857143,0.780952380952381,0.6476190476190476,0.1428571428571429,0.24761904761904763
user_json_pad,32,all_heads,6,13.125,0.9238095238095239,0.8952380952380953,0.780952380952381,0.7714285714285715,0.7238095238095238,0.5714285714285714,0.20000000000000007,0.3238095238095239
user_json_pad,32,all_mlps,4,13.125,0.9238095238095239,0.8952380952380953,0.7238095238095238,0.5714285714285714,0.780952380952381,0.7714285714285715,0.1428571428571429,0.12380952380952381
user_json_pad,33,full_core,10,11.25,0.9888888888888889,0.9722222222222222,0.9888888888888889,0.9722222222222222,nan,nan,nan,nan
user_json_pad,33,stable_necessary_backbone,2,11.25,0.9888888888888889,0.9722222222222222,0.6333333333333333,0.5111111111111111,0.8333333333333334,0.7888888888888889,0.15555555555555556,0.18333333333333335
user_json_pad,33,stable_but_weak_or_redundant,6,11.25,0.9888888888888889,0.9722222222222222,0.7777777777777778,0.7388888888888889,0.8555555555555555,0.8111111111111111,0.13333333333333341,0.1611111111111111
user_json_pad,33,all_heads,6,11.25,0.9888888888888889,0.9722222222222222,0.8222222222222222,0.8388888888888889,0.7555555555555555,0.6777777777777778,0.2333333333333334,0.2944444444444444
user_json_pad,33,all_mlps,4,11.25,0.9888888888888889,0.9722222222222222,0.7555555555555555,0.6777777777777778,0.8222222222222222,0.8388888888888889,0.16666666666666674,0.1333333333333333
user_json_pad,36,full_core,10,10.125,0.9876543209876543,0.9629629629629629,0.9876543209876543,0.9629629629629629,nan,nan,nan,nan
user_json_pad,36,stable_necessary_backbone,2,10.125,0.9876543209876543,0.9629629629629629,0.6172839506172839,0.48148148148148145,0.8395061728395061,0.7407407407407407,0.14814814814814814,0.2222222222222222
user_json_pad,36,stable_but_weak_or_redundant,6,10.125,0.9876543209876543,0.9629629629629629,0.7901234567901234,0.7160493827160493,0.8641975308641975,0.8024691358024691,0.12345679012345678,0.16049382716049376
user_json_pad,36,all_heads,6,10.125,0.9876543209876543,0.9629629629629629,0.8024691358024691,0.7777777777777778,0.8024691358024691,0.7407407407407407,0.18518518518518512,0.2222222222222222
user_json_pad,36,all_mlps,4,10.125,0.9876543209876543,0.9629629629629629,0.8024691358024691,0.7407407407407407,0.8024691358024691,0.7777777777777778,0.18518518518518512,0.18518518518518512
user_json_pad,37,full_core,10,11.0,1.0,0.9886363636363636,1.0,0.9886363636363636,nan,nan,nan,nan
user_json_pad,37,stable_necessary_backbone,2,11.0,1.0,0.9886363636363636,0.6704545454545454,0.5454545454545454,0.7954545454545454,0.7159090909090909,0.20454545454545459,0.2727272727272727
user_json_pad,37,stable_but_weak_or_redundant,6,11.0,1.0,0.9886363636363636,0.7727272727272727,0.7045454545454546,0.8977272727272727,0.8636363636363636,0.10227272727272729,0.125
user_json_pad,37,all_heads,6,11.0,1.0,0.9886363636363636,0.8068181818181818,0.7840909090909091,0.7954545454545454,0.7159090909090909,0.20454545454545459,0.2727272727272727
user_json_pad,37,all_mlps,4,11.0,1.0,0.9886363636363636,0.7954545454545454,0.7159090909090909,0.8068181818181818,0.7840909090909091,0.19318181818181823,0.20454545454545459
user_json_pad,38,full_core,10,9.5,1.0921052631578947,1.0789473684210527,1.0921052631578947,1.0789473684210527,nan,nan,nan,nan
user_json_pad,38,stable_necessary_backbone,2,9.5,1.0921052631578947,1.0789473684210527,0.5921052631578947,0.5328947368421053,1.013157894736842,0.9539473684210527,0.07894736842105265,0.125
user_json_pad,38,stable_but_weak_or_redundant,6,9.5,1.0921052631578947,1.0789473684210527,0.9736842105263158,0.9605263157894737,0.8552631578947368,0.8947368421052632,0.23684210526315785,0.1842105263157895
user_json_pad,38,all_heads,6,9.5,1.0921052631578947,1.0789473684210527,0.9210526315789473,0.9407894736842105,0.8552631578947368,0.8486842105263158,0.23684210526315785,0.23026315789473684
user_json_pad,38,all_mlps,4,9.5,1.0921052631578947,1.0789473684210527,0.8552631578947368,0.8486842105263158,0.9210526315789473,0.9407894736842105,0.17105263157894735,0.13815789473684215
user_json_pad,39,full_core,10,10.25,0.926829268292683,0.9512195121951219,0.926829268292683,0.9512195121951219,nan,nan,nan,nan
user_json_pad,39,stable_necessary_backbone,2,10.25,0.926829268292683,0.9512195121951219,0.5853658536585366,0.45121951219512196,0.8170731707317073,0.8292682926829268,0.10975609756097571,0.12195121951219512
user_json_pad,39,stable_but_weak_or_redundant,6,10.25,0.926829268292683,0.9512195121951219,0.7560975609756098,0.7439024390243902,0.8292682926829268,0.7926829268292683,0.09756097560975618,0.15853658536585358
user_json_pad,39,all_heads,6,10.25,0.926829268292683,0.9512195121951219,0.7682926829268293,0.7804878048780488,0.7926829268292683,0.7195121951219512,0.13414634146341464,0.23170731707317072
user_json_pad,39,all_mlps,4,10.25,0.926829268292683,0.9512195121951219,0.7926829268292683,0.7195121951219512,0.7682926829268293,0.7804878048780488,0.1585365853658537,0.1707317073170731
user_json_pad,41,full_core,10,13.1875,1.037914691943128,1.018957345971564,1.037914691943128,1.018957345971564,nan,nan,nan,nan
user_json_pad,41,stable_necessary_backbone,2,13.1875,1.037914691943128,1.018957345971564,0.6682464454976303,0.5592417061611374,0.981042654028436,0.9289099526066351,0.056872037914691864,0.09004739336492884
user_json_pad,41,stable_but_weak_or_redundant,6,13.1875,1.037914691943128,1.018957345971564,0.933649289099526,0.8957345971563981,0.8672985781990521,0.8293838862559242,0.17061611374407581,0.18957345971563977
user_json_pad,41,all_heads,6,13.1875,1.037914691943128,1.018957345971564,0.9241706161137441,0.9146919431279621,0.8578199052132701,0.7962085308056872,0.1800947867298578,0.22274881516587675
user_json_pad,41,all_mlps,4,13.1875,1.037914691943128,1.018957345971564,0.8578199052132701,0.7962085308056872,0.9241706161137441,0.9146919431279621,0.11374407582938384,0.10426540284360186
user_json_pad,42,full_core,10,5.6875,0.9120879120879121,0.8461538461538461,0.9120879120879121,0.8461538461538461,nan,nan,nan,nan
user_json_pad,42,stable_necessary_backbone,2,5.6875,0.9120879120879121,0.8461538461538461,0.46153846153846156,0.42857142857142855,0.7362637362637363,0.6923076923076923,0.17582417582417575,0.15384615384615385
user_json_pad,42,stable_but_weak_or_redundant,6,5.6875,0.9120879120879121,0.8461538461538461,1.0,0.9560439560439561,0.5164835164835165,0.5054945054945055,0.39560439560439553,0.34065934065934067
user_json_pad,42,all_heads,6,5.6875,0.9120879120879121,0.8461538461538461,0.9230769230769231,0.8681318681318682,0.6923076923076923,0.5934065934065934,0.21978021978021978,0.25274725274725274
user_json_pad,42,all_mlps,4,5.6875,0.9120879120879121,0.8461538461538461,0.6923076923076923,0.5934065934065934,0.9230769230769231,0.8681318681318682,-0.010989010989011061,-0.02197802197802201
user_json_pad,43,full_core,10,12.75,0.9509803921568627,0.9607843137254902,0.9509803921568627,0.9607843137254902,nan,nan,nan,nan
user_json_pad,43,stable_necessary_backbone,2,12.75,0.9509803921568627,0.9607843137254902,0.6274509803921569,0.5,0.8137254901960784,0.7647058823529411,0.13725490196078427,0.1960784313725491
user_json_pad,43,stable_but_weak_or_redundant,6,12.75,0.9509803921568627,0.9607843137254902,0.7745098039215687,0.7352941176470589,0.8333333333333334,0.7745098039215687,0.11764705882352933,0.18627450980392157
user_json_pad,43,all_heads,6,12.75,0.9509803921568627,0.9607843137254902,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.6862745098039216,0.16666666666666663,0.27450980392156865
user_json_pad,43,all_mlps,4,12.75,0.9509803921568627,0.9607843137254902,0.7843137254901961,0.6862745098039216,0.7843137254901961,0.7843137254901961,0.16666666666666663,0.17647058823529416
user_json_pad,44,full_core,10,11.5,0.9891304347826086,0.9728260869565217,0.9891304347826086,0.9728260869565217,nan,nan,nan,nan
user_json_pad,44,stable_necessary_backbone,2,11.5,0.9891304347826086,0.9728260869565217,0.6304347826086957,0.5108695652173914,0.8695652173913043,0.8532608695652174,0.11956521739130432,0.11956521739130432
