q_index,group,n_nodes,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,delta_full_suff_drop,delta_full_nec_drop,gap
95,essential_backbone,3,0.881578947368421,0.7631578947368421,0.7368421052631579,0.6578947368421053,0.11842105263157898,0.14473684210526316,9.5
95,redundant_or_interfering,3,0.5789473684210527,0.47368421052631576,0.868421052631579,0.8289473684210527,-0.013157894736842146,-0.02631578947368418,9.5
95,all_heads,6,0.9078947368421053,0.8552631578947368,0.5657894736842105,0.4605263157894737,0.2894736842105263,0.3421052631578948,9.5
95,all_mlps,4,0.5657894736842105,0.4605263157894737,0.9078947368421053,0.8552631578947368,-0.052631578947368474,-0.05263157894736836,9.5
96,full_core,10,0.8666666666666667,0.9333333333333333,nan,nan,0.0,0.0,5.625
96,contextual_supporter,4,0.8,0.7333333333333333,0.8666666666666667,0.8444444444444444,0.0,0.0888888888888889,5.625
96,essential_backbone,3,1.0,1.0444444444444445,0.7333333333333333,0.7333333333333333,0.13333333333333341,0.20000000000000007,5.625
96,redundant_or_interfering,3,0.4444444444444444,0.4222222222222222,1.0666666666666667,1.1333333333333333,-0.19999999999999996,-0.19999999999999996,5.625
96,all_heads,6,1.1111111111111112,1.1777777777777778,0.4666666666666667,0.4444444444444444,0.4,0.48888888888888893,5.625
96,all_mlps,4,0.4666666666666667,0.4444444444444444,1.1111111111111112,1.1777777777777778,-0.24444444444444446,-0.24444444444444446,5.625
97,full_core,10,0.8571428571428571,0.8571428571428571,nan,nan,0.0,0.0,6.125
97,contextual_supporter,4,0.7142857142857143,0.5918367346938775,0.8163265306122449,0.8571428571428571,0.04081632653061218,0.0,6.125
97,essential_backbone,3,0.8775510204081632,1.0,0.673469387755102,0.6122448979591837,0.18367346938775508,0.2448979591836734,6.125
97,redundant_or_interfering,3,0.42857142857142855,0.3877551020408163,1.0204081632653061,1.0612244897959184,-0.16326530612244905,-0.20408163265306134,6.125
97,all_heads,6,0.9795918367346939,1.1020408163265305,0.4897959183673469,0.3877551020408163,0.36734693877551017,0.4693877551020408,6.125
97,all_mlps,4,0.4897959183673469,0.3877551020408163,0.9795918367346939,1.1020408163265305,-0.12244897959183676,-0.2448979591836734,6.125
98,full_core,10,0.8382352941176471,0.9117647058823529,nan,nan,0.0,0.0,8.5
98,contextual_supporter,4,0.5735294117647058,0.5735294117647058,0.8088235294117647,0.7794117647058824,0.02941176470588236,0.13235294117647056,8.5
98,essential_backbone,3,0.6764705882352942,0.6323529411764706,0.7205882352941176,0.6911764705882353,0.11764705882352944,0.22058823529411764,8.5
98,redundant_or_interfering,3,0.5588235294117647,0.4117647058823529,0.8529411764705882,0.9411764705882353,-0.014705882352941124,-0.02941176470588236,8.5
98,all_heads,6,0.8382352941176471,0.9117647058823529,0.5441176470588235,0.5,0.2941176470588236,0.4117647058823529,8.5
98,all_mlps,4,0.5441176470588235,0.5,0.8382352941176471,0.9117647058823529,0.0,0.0,8.5
100,full_core,10,0.921875,0.9375,nan,nan,0.0,0.0,8.0
100,contextual_supporter,4,0.703125,0.6875,0.90625,0.921875,0.015625,0.015625,8.0
100,essential_backbone,3,0.875,1.046875,0.765625,0.734375,0.15625,0.203125,8.0
100,redundant_or_interfering,3,0.609375,0.5,1.03125,1.09375,-0.109375,-0.15625,8.0
100,all_heads,6,1.0,1.09375,0.546875,0.453125,0.375,0.484375,8.0
100,all_mlps,4,0.546875,0.453125,1.0,1.09375,-0.078125,-0.15625,8.0
101,full_core,10,0.8823529411764706,0.9264705882352942,nan,nan,0.0,0.0,8.5
101,contextual_supporter,4,0.6470588235294118,0.6323529411764706,0.8823529411764706,0.8676470588235294,0.0,0.05882352941176472,8.5
101,essential_backbone,3,0.8823529411764706,0.8676470588235294,0.75,0.7352941176470589,0.13235294117647056,0.19117647058823528,8.5
101,redundant_or_interfering,3,0.5735294117647058,0.4264705882352941,0.9558823529411765,1.0294117647058822,-0.07352941176470595,-0.10294117647058809,8.5
101,all_heads,6,1.0147058823529411,1.0588235294117647,0.5441176470588235,0.4852941176470588,0.3382352941176471,0.44117647058823534,8.5
101,all_mlps,4,0.5441176470588235,0.4852941176470588,1.0147058823529411,1.0588235294117647,-0.13235294117647056,-0.13235294117647056,8.5
102,full_core,10,0.9243697478991597,0.9243697478991597,nan,nan,0.0,0.0,14.875
102,contextual_supporter,4,0.8235294117647058,0.7563025210084033,0.8823529411764706,0.8277310924369747,0.04201680672268915,0.09663865546218497,14.875
102,essential_backbone,3,0.8067226890756303,0.7478991596638656,0.8571428571428571,0.8151260504201681,0.06722689075630262,0.10924369747899165,14.875
102,redundant_or_interfering,3,0.6470588235294118,0.44537815126050423,0.9747899159663865,1.0168067226890756,-0.05042016806722682,-0.09243697478991586,14.875
102,all_heads,6,0.9747899159663865,1.0,0.6554621848739496,0.4789915966386555,0.26890756302521013,0.44537815126050423,14.875
102,all_mlps,4,0.6554621848739496,0.4789915966386555,0.9747899159663865,1.0,-0.05042016806722682,-0.07563025210084029,14.875
103,full_core,10,0.921875,0.953125,nan,nan,0.0,0.0,8.0
103,contextual_supporter,4,0.75,0.703125,0.875,0.953125,0.046875,0.0,8.0
103,essential_backbone,3,0.84375,0.921875,0.75,0.75,0.171875,0.203125,8.0
103,redundant_or_interfering,3,0.5625,0.4375,1.03125,1.078125,-0.109375,-0.125,8.0
103,all_heads,6,1.015625,1.09375,0.578125,0.515625,0.34375,0.4375,8.0
103,all_mlps,4,0.578125,0.515625,1.015625,1.09375,-0.09375,-0.140625,8.0
104,full_core,10,0.9375,0.953125,nan,nan,0.0,0.0,8.0
104,contextual_supporter,4,0.71875,0.65625,0.890625,0.953125,0.046875,0.0,8.0
104,essential_backbone,3,0.921875,1.015625,0.78125,0.75,0.15625,0.203125,8.0
104,redundant_or_interfering,3,0.609375,0.5,1.046875,1.09375,-0.109375,-0.140625,8.0
104,all_heads,6,1.015625,1.140625,0.578125,0.5,0.359375,0.453125,8.0
104,all_mlps,4,0.578125,0.5,1.015625,1.140625,-0.078125,-0.1875,8.0
105,full_core,10,0.8888888888888888,0.8888888888888888,nan,nan,0.0,0.0,6.75
105,contextual_supporter,4,0.7592592592592593,0.7037037037037037,0.8148148148148148,0.8518518518518519,0.07407407407407407,0.03703703703703698,6.75
105,essential_backbone,3,0.7592592592592593,0.8148148148148148,0.7592592592592593,0.7037037037037037,0.12962962962962954,0.18518518518518512,6.75
105,redundant_or_interfering,3,0.5370370370370371,0.46296296296296297,0.9814814814814815,1.0,-0.09259259259259267,-0.11111111111111116,6.75
105,all_heads,6,0.9259259259259259,1.0185185185185186,0.5925925925925926,0.4444444444444444,0.2962962962962963,0.4444444444444444,6.75
105,all_mlps,4,0.5925925925925926,0.4444444444444444,0.9259259259259259,1.0185185185185186,-0.03703703703703709,-0.12962962962962976,6.75
106,full_core,10,0.9344262295081968,0.9344262295081968,nan,nan,0.0,0.0,7.625
106,contextual_supporter,4,0.6885245901639344,0.5737704918032787,0.9180327868852459,0.8852459016393442,0.016393442622950838,0.049180327868852514,7.625
106,essential_backbone,3,0.8524590163934426,0.8360655737704918,0.7704918032786885,0.7049180327868853,0.16393442622950827,0.2295081967213115,7.625
106,redundant_or_interfering,3,0.6065573770491803,0.4262295081967213,0.9836065573770492,0.9836065573770492,-0.0491803278688524,-0.0491803278688524,7.625
106,all_heads,6,0.9836065573770492,1.0655737704918034,0.639344262295082,0.4262295081967213,0.29508196721311475,0.5081967213114755,7.625
106,all_mlps,4,0.639344262295082,0.4262295081967213,0.9836065573770492,1.0655737704918034,-0.0491803278688524,-0.1311475409836066,7.625
107,full_core,10,0.8148148148148148,0.8703703703703703,nan,nan,0.0,0.0,6.75
107,contextual_supporter,4,0.5925925925925926,0.5925925925925926,0.7962962962962963,0.7962962962962963,0.01851851851851849,0.07407407407407407,6.75
107,essential_backbone,3,0.7777777777777778,0.7407407407407407,0.6666666666666666,0.6666666666666666,0.14814814814814814,0.20370370370370372,6.75
107,redundant_or_interfering,3,0.5370370370370371,0.35185185185185186,0.8703703703703703,0.9629629629629629,-0.05555555555555558,-0.09259259259259256,6.75
107,all_heads,6,0.9074074074074074,0.9629629629629629,0.5,0.48148148148148145,0.31481481481481477,0.3888888888888889,6.75
107,all_mlps,4,0.5,0.48148148148148145,0.9074074074074074,0.9629629629629629,-0.09259259259259267,-0.09259259259259256,6.75
108,full_core,10,1.0606060606060606,1.0808080808080809,nan,nan,0.0,0.0,12.375
108,contextual_supporter,4,0.8383838383838383,0.7474747474747475,0.98989898989899,0.9696969696969697,0.07070707070707061,0.11111111111111116,12.375
108,essential_backbone,3,0.9393939393939394,0.8686868686868687,0.9494949494949495,0.9090909090909091,0.11111111111111105,0.17171717171717182,12.375
108,redundant_or_interfering,3,0.7272727272727273,0.5555555555555556,1.0808080808080809,1.0808080808080809,-0.020202020202020332,0.0,12.375
108,all_heads,6,1.0303030303030303,1.0505050505050506,0.797979797979798,0.6565656565656566,0.26262626262626254,0.4242424242424243,12.375
108,all_mlps,4,0.797979797979798,0.6565656565656566,1.0303030303030303,1.0505050505050506,0.030303030303030276,0.030303030303030276,12.375
109,full_core,10,1.2272727272727273,1.3636363636363635,nan,nan,0.0,0.0,2.75
109,contextual_supporter,4,1.1363636363636365,0.9090909090909091,1.2727272727272727,1.4090909090909092,-0.045454545454545414,-0.045454545454545636,2.75
109,essential_backbone,3,1.5909090909090908,1.9090909090909092,0.9090909090909091,0.9545454545454546,0.31818181818181823,0.40909090909090895,2.75
109,redundant_or_interfering,3,0.6363636363636364,0.5,1.6363636363636365,1.7272727272727273,-0.40909090909090917,-0.36363636363636376,2.75
109,all_heads,6,1.6363636363636365,1.8181818181818181,0.7272727272727273,0.5909090909090909,0.5,0.7727272727272726,2.75
109,all_mlps,4,0.7272727272727273,0.5909090909090909,1.6363636363636365,1.8181818181818181,-0.40909090909090917,-0.4545454545454546,2.75
